# Source: https://www.youtube.com/watch?v=piGARuwab4k
# The source video does not declare a Creative Commons or public-domain license.
# sound_name is the value to use with data-sound; the corresponding file adds .mp3.
sound_name	original_id	start_seconds	end_seconds
flowery-no-way-its-your-children	snd_flowery_voiceclip_no_way_its_your_children	0.000000	1.589960
flowery-suckle-it-up	snd_flowery_voiceclip_suckle_it_up	2.170900	3.259560
flowery-says-flowery	snd_flowery_voiceclip_flowery	3.841600	4.499690
flowery-flowers-bloom-in-your-heart	snd_flowery_voiceclip_flowers_blooms_in_your_heart	5.000120	6.713540
flowery-all-according-to-all-according-to-plant	snd_flowery_voiceclip_all_according_to_all_according_to_plant	7.137330	9.344790
flowery-blingo-blizzard	snd_flowery_voiceclip_blingo_blizzard	10.108900	11.195900
flowery-calling-for-help	snd_flowery_voiceclip_calling_for_help	11.692500	12.967500
flowery-dont-you-like-serving-humans	snd_flowery_voiceclip_dont_you_like_serving_humans	13.510100	15.393600
flowery-forget-it	snd_flowery_voiceclip_forget_it	15.882000	17.347100
flowery-get-a-chance-1	snd_flowery_voiceclip_get_a_chance_1	17.832900	18.942300
flowery-get-a-chance-2	snd_flowery_voiceclip_get_a_chance_2	19.822700	21.198600
flowery-glue	snd_flowery_voiceclip_glue	21.963300	24.360400
flowery-goodbye	snd_flowery_voiceclip_goodbye	24.955000	25.632000
flowery-great-style	snd_flowery_voiceclip_great_style	26.545800	27.613400
flowery-grown-like-a-turnip	snd_flowery_voiceclip_grown_like_a_turnip	28.095100	29.374600
flowery-hah	snd_flowery_voiceclip_hah	29.670800	30.088700
flowery-here-i-come-san-frandisco-strong	snd_flowery_voiceclip_hereicomesanfrandisco_strong	30.464300	40.183900
flowery-hey-raly	snd_flowery_voiceclip_hey_raly	40.892000	41.831600
flowery-hey-guys-i-think-i-found-a-glue	snd_flowery_voiceclip_heyguysithinkifoundaglue	42.184500	46.952200
flowery-huh-ill-show-you	snd_flowery_voiceclip_huhillshowyou	47.174100	49.820600
flowery-im-only-trying-to-help-you	snd_flowery_voiceclip_im_only_trying_to_help_you	50.795900	52.444000
flowery-im-sorry-once-again-i-kept-a-lady-in-waiting	snd_flowery_voiceclip_imsorryonceagainikeptaladyinwaiting	52.967600	56.316800
flowery-its-so-human	snd_flowery_voiceclip_its_so_human	56.751800	59.487300
flowery-its-me-flowery	snd_flowery_voiceclip_itsmeflowery	60.043500	61.940500
flowery-kris	snd_flowery_voiceclip_kris	62.371000	63.139400
flowery-leaf-it-to-me	snd_flowery_voiceclip_leaf_it_to_me	63.610600	64.622200
flowery-lend-me-your-power	snd_flowery_voiceclip_lend_me_your_power	64.882000	67.663800
flowery-mini-peppers	snd_flowery_voiceclip_minipeppers	69.212400	70.306600
flowery-mostlys	snd_flowery_voiceclip_mostlys	70.955000	71.747400
flowery-my-favorite-two	snd_flowery_voiceclip_my_favorite_two	72.249900	73.631200
flowery-my-human	snd_flowery_voiceclip_my_human	74.604700	75.492400
flowery-my-king	snd_flowery_voiceclip_my_king	75.875300	76.903200
flowery-mysterious-wind	snd_flowery_voiceclip_mysterious_wind	77.913800	79.168400
flowery-omega-flowery	snd_flowery_voiceclip_omega_flowery	80.087300	83.631100
flowery-powering-up	snd_flowery_voiceclip_powering_up	85.170700	86.821800
flowery-prism-blow	snd_flowery_voiceclip_prism_blow	88.295900	89.684800
flowery-say-that-again	snd_flowery_voiceclip_say_that_again	90.003900	91.828500
flowery-smile-again	snd_flowery_voiceclip_smile_again	92.337200	93.391300
flowery-sorry-about-the-guy	snd_flowery_voiceclip_sorryabouttheguy	94.195700	102.626000
flowery-spiral-dance	snd_flowery_voiceclip_spiral_dance	103.087000	106.319000
flowery-stingus	snd_flowery_voiceclip_stingus	106.928000	107.975000
flowery-susie	snd_flowery_voiceclip_susie	108.337000	108.980000
flowery-take-that	snd_flowery_voiceclip_take_that	109.739000	110.597000
flowery-thats-my-dreams	snd_flowery_voiceclip_thats_my_dreams	111.485000	112.746000
flowery-thats-great	snd_flowery_voiceclip_thatsgreat	113.510000	115.335000
flowery-the-diner	snd_flowery_voiceclip_the_diner	115.796000	116.681000
flowery-theyre-eating-my-flesh	snd_flowery_voiceclip_theyre_eating_my_flesh	117.256000	119.012000
flowery-this-guys-your-best-friend	snd_flowery_voiceclip_thisguysyourbestfriend	119.797000	122.491000
flowery-what-a-predictable-creature	snd_flowery_voiceclip_what_a_predictable_creature	123.033000	124.580000
flowery-with-your-powers-combined	snd_flowery_voiceclip_with_your_powers_combined	125.595000	128.222000
flowery-yes	snd_flowery_voiceclip_yes	130.038000	132.132000
flowery-your-dads-my-best-friend	snd_flowery_voiceclip_yourdadsmybestfriend	132.516000	135.432000
flowery-jarona-1	snd_flowery_voiceclip_jarona1	136.177000	136.983000
flowery-jarona-2	snd_flowery_voiceclip_jarona2	137.421000	138.134000
flowery-jarona-3	snd_flowery_voiceclip_jarona3	138.420000	139.103000
flowery-jarona-4	snd_flowery_voiceclip_jarona4	139.555000	140.270000
flowery-last-jarona	snd_flowery_voiceclip_last_jarona	140.629000	143.017000
flowery-for-the-fans	snd_forthefans	143.925000	145.738000
flowery-ja-kidding	snd_ja_kidding	146.358000	147.499000
flowery-jarona-orange-1	snd_jarona_orange1	147.837000	148.926000
flowery-jarona-orange-2	snd_jarona_orange2	149.254000	150.393000
